,archivo,autor_fuente,disco,fecha,titulo,url,palabras_aprox
0,01_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Fuerza Natural,https://www.letras.com/gustavo-cerati/1550675/#album:fuerza-natural-2009,160
1,02_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Deja Vu,https://www.letras.com/gustavo-cerati/1509916/#album:fuerza-natural-2009,147
2,03_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Magia,https://www.letras.com/gustavo-cerati/1550674/#album:fuerza-natural-2009,122
3,04_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Amor Sin Rodeos,https://www.letras.com/gustavo-cerati/1550673/#album:fuerza-natural-2009,138
4,05_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Tracción A Sangre,https://www.letras.com/gustavo-cerati/1550672/#album:fuerza-natural-2009,148
5,06_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Desatre,https://www.letras.com/gustavo-cerati/1550671/#album:fuerza-natural-2009,122
6,07_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Rapto,https://www.letras.com/gustavo-cerati/1550670/#album:fuerza-natural-2009,162
7,08_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Cactus,https://www.letras.com/gustavo-cerati/1550668/#album:fuerza-natural-2009,125
8,09_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Naturaleza Muerta,https://www.letras.com/gustavo-cerati/1550669/#album:fuerza-natural-2009,125
9,10_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Dominó,https://www.letras.com/gustavo-cerati/1550667/#album:fuerza-natural-2009,151
10,11_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Sal,https://www.letras.com/gustavo-cerati/1550665/#album:fuerza-natural-2009,73
11,12_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Convoy,https://www.letras.com/gustavo-cerati/1550666/#album:fuerza-natural-2009,123
12,13_texto.txt,Gustavo Cerati,Fuerza Natural,2009,He Visto A Lucy,https://www.letras.com/gustavo-cerati/1550663/#album:fuerza-natural-2009,122
13,14_texto.txt,Gustavo Cerati,Fuerza Natural,2009,Numeral,https://www.letras.com/gustavo-cerati/1550664/#album:fuerza-natural-2009,126
14,15_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Al Fin Sucede,https://www.letras.com/gustavo-cerati/535870/#album:ahi-vamos-2006,128
15,16_texto.txt,Gustavo Cerati,Ahí Vamos,2006,La Excepción,https://www.letras.com/gustavo-cerati/535876/#album:ahi-vamos-2006,163
16,17_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Uno Entre Mil,https://www.letras.com/gustavo-cerati/uno-entre-mil/#album:ahi-vamos-2006,100
17,18_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Caravana,https://www.letras.com/gustavo-cerati/535872/#album:ahi-vamos-2006,123
18,19_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Adios,https://www.letras.com/gustavo-cerati/535869/#album:ahi-vamos-2006,105
19,20_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Me Quedo Aquí,https://www.letras.com/gustavo-cerati/535878/#album:ahi-vamos-2006,129
20,21_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Lago En El Cielo,https://www.letras.com/gustavo-cerati/535877/#album:ahi-vamos-2006,155
21,22_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Dios Nos Libre,https://www.letras.com/gustavo-cerati/535874/#album:ahi-vamos-2006,103
22,23_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Otra Piel,https://www.letras.com/gustavo-cerati/535880/#album:ahi-vamos-2006,109
23,24_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Medium,https://www.letras.com/gustavo-cerati/535879/#album:ahi-vamos-2006,77
24,25_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Bomba De Tiempo,https://www.letras.com/gustavo-cerati/535871/#album:ahi-vamos-2006,116
25,26_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Crímen,https://www.letras.com/gustavo-cerati/535873/#album:ahi-vamos-2006,137
26,27_texto.txt,Gustavo Cerati,Ahí Vamos,2006,Jugo De Luna,https://www.letras.com/gustavo-cerati/535875/#album:ahi-vamos-2006,122
27,28_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Cosas Imposibles,https://www.letras.com/gustavo-cerati/162779/#album:siempre-es-hoy-2002,140
28,29_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,No Te Creo,https://www.letras.com/gustavo-cerati/257015/#album:siempre-es-hoy-2002,72
29,30_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Artefacto,https://www.letras.com/gustavo-cerati/400908/#album:siempre-es-hoy-2002,72
30,31_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Naci Para Esto,https://www.letras.com/gustavo-cerati/257014/#album:siempre-es-hoy-2002,97
31,32_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Amo Dejarte Asi,https://www.letras.com/gustavo-cerati/400905/#album:siempre-es-hoy-2002,38
32,33_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Tu Cicatriz En Mi,https://www.letras.com/gustavo-cerati/257019/#album:siempre-es-hoy-2002,114
33,34_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Señales Luminosas,https://www.letras.com/gustavo-cerati/257016/#album:siempre-es-hoy-2002,122
34,35_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Karaoke,https://www.letras.com/gustavo-cerati/76846/#album:siempre-es-hoy-2002,81
35,36_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Sulky,https://www.letras.com/gustavo-cerati/84718/#album:siempre-es-hoy-2002,93
36,37_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Casa,https://www.letras.com/gustavo-cerati/257011/#album:siempre-es-hoy-2002,81
37,38_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Camuflaje,https://www.letras.com/gustavo-cerati/257010/#album:siempre-es-hoy-2002,52
38,39_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Altar,https://www.letras.com/gustavo-cerati/257009/#album:siempre-es-hoy-2002,168
39,40_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Torre De Marfil,https://www.letras.com/gustavo-cerati/257018/#album:siempre-es-hoy-2002,83
40,41_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Fantasma,https://www.letras.com/gustavo-cerati/257013/#album:siempre-es-hoy-2002,57
41,42_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Vivo,https://www.letras.com/gustavo-cerati/400930/#album:siempre-es-hoy-2002,93
42,43_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Sudestada,https://www.letras.com/gustavo-cerati/257017/#album:siempre-es-hoy-2002,45
43,44_texto.txt,Gustavo Cerati,Siempre Es Hoy,2002,Especie,https://www.letras.com/gustavo-cerati/257012/#album:siempre-es-hoy-2002,65
44,45_texto.txt,Gustavo Cerati,Bocanada,1999,Tabú,https://www.letras.com/gustavo-cerati/400926/#album:bocanada-1999,81
45,46_texto.txt,Gustavo Cerati,Bocanada,1999,Engaña,https://www.letras.com/gustavo-cerati/400914/#album:bocanada-1999,96
46,47_texto.txt,Gustavo Cerati,Bocanada,1999,Bocanada,https://www.letras.com/gustavo-cerati/400911/#album:bocanada-1999,108
47,48_texto.txt,Gustavo Cerati,Bocanada,1999,Puente,https://www.letras.com/gustavo-cerati/17141/#album:bocanada-1999,114
48,49_texto.txt,Gustavo Cerati,Bocanada,1999,Río Babel,https://www.letras.com/gustavo-cerati/400923/#album:bocanada-1999,80
49,50_texto.txt,Gustavo Cerati,Bocanada,1999,Beautifoul,https://www.letras.com/gustavo-cerati/83758/#album:bocanada-1999,128
50,51_texto.txt,Gustavo Cerati,Bocanada,1999,Perdonar Es Divino,https://www.letras.com/gustavo-cerati/400919/#album:bocanada-1999,121
51,52_texto.txt,Gustavo Cerati,Bocanada,1999,Verbo Carne,https://www.letras.com/gustavo-cerati/400929/#album:bocanada-1999,67
